               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.023905,           0.0074273,          0.00062297,             0.97564,             0.97902,             0.98845,             0.61563,            0.026276,           0.0061296,          0.00023117,           0.0035155,           0.0035155,           0.0035155
                 133,            0.024084,           0.0073937,          0.00069983,               0.977,             0.97911,             0.98861,             0.61621,            0.026236,           0.0061218,          0.00023411,            0.003466,            0.003466,            0.003466
                 134,             0.02398,           0.0075211,          0.00069531,             0.97494,             0.98122,             0.98951,             0.61804,            0.026155,            0.006112,          0.00023631,           0.0034165,           0.0034165,           0.0034165
                 135,            0.023688,           0.0074417,          0.00068485,             0.97267,             0.98374,              0.9883,             0.61843,            0.026083,           0.0061022,          0.00022744,            0.003367,            0.003367,            0.003367
                 136,            0.023381,           0.0073335,          0.00073083,             0.97159,             0.98483,             0.98856,             0.61874,            0.026006,           0.0060953,          0.00022972,           0.0033175,           0.0033175,           0.0033175
                 137,            0.023806,           0.0073758,          0.00072998,             0.97375,             0.98426,             0.98807,             0.62044,            0.025963,           0.0061008,          0.00022754,            0.003268,            0.003268,            0.003268
                 138,            0.023451,           0.0074615,          0.00080691,             0.97577,             0.98283,             0.98806,             0.62099,            0.025956,           0.0060998,          0.00023018,           0.0032185,           0.0032185,           0.0032185
                 139,            0.023122,           0.0073637,          0.00070676,             0.97567,              0.9828,             0.98798,             0.62111,            0.025965,           0.0060962,          0.00022398,            0.003169,            0.003169,            0.003169
                 140,            0.023257,           0.0073282,          0.00068049,             0.97679,              0.9817,             0.98767,              0.6221,            0.025964,           0.0060884,          0.00021745,           0.0031195,           0.0031195,           0.0031195
                 141,            0.022754,           0.0070598,          0.00070115,             0.97635,             0.98273,             0.98767,             0.62146,            0.025913,           0.0060828,          0.00021323,             0.00307,             0.00307,             0.00307
                 142,            0.022606,           0.0071963,          0.00064368,             0.97549,             0.98328,             0.98781,             0.62205,            0.025863,           0.0060782,          0.00020806,           0.0030205,           0.0030205,           0.0030205
                 143,            0.022695,           0.0072252,          0.00063555,             0.97534,              0.9837,             0.98814,              0.6233,             0.02582,           0.0060769,          0.00020791,            0.002971,            0.002971,            0.002971
                 144,            0.022817,           0.0073492,          0.00070404,             0.97601,             0.98227,             0.98823,             0.62466,             0.02575,           0.0060704,          0.00020775,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022649,            0.007291,          0.00066426,             0.97841,              0.9811,             0.98852,               0.627,            0.025731,           0.0060583,          0.00020435,            0.002872,            0.002872,            0.002872
                 146,            0.022414,           0.0072234,          0.00062858,             0.97737,             0.98156,             0.98831,             0.62525,            0.025723,           0.0060577,          0.00020194,           0.0028225,           0.0028225,           0.0028225
                 147,            0.022109,           0.0070794,          0.00067906,             0.97726,             0.98256,             0.98866,             0.62677,            0.025693,           0.0060627,           0.0002001,            0.002773,            0.002773,            0.002773
                 148,            0.021957,            0.007193,          0.00061834,             0.97798,             0.98316,             0.98869,             0.62761,            0.025662,           0.0060633,           0.0001992,           0.0027235,           0.0027235,           0.0027235
                 149,            0.022272,           0.0070997,          0.00064934,             0.97708,               0.983,             0.98831,             0.62632,            0.025618,           0.0060557,          0.00019943,            0.002674,            0.002674,            0.002674
